domain_token_count,tld,NumberofDotsinURL,SymbolCount_Domain,Entropy_Domain,class
2,2,1,1,0.8605,benign
3,3,3,2,0.7768,benign
2,2,1,1,1,benign
2,2,1,1,0.8796,benign
2,2,2,1,0.8337,benign
2,2,2,1,0.8605,benign
2,2,1,1,0.9398,benign
2,2,1,1,0.9167,benign
2,2,2,1,1,benign
2,2,1,1,0.9398,benign
2,2,2,1,0.8605,benign
2,2,5,1,0.8605,benign
2,2,2,1,0.8605,benign
2,2,1,1,0.8796,benign
2,2,2,1,0.8337,benign
2,2,2,1,0.9398,benign
2,2,1,1,0.8976,benign
2,2,1,1,0.7192,benign
2,2,1,1,0.7982,benign
3,3,2,2,0.8194,benign
2,2,1,1,0.9398,benign
2,2,1,1,0.9167,benign
2,2,1,1,1,benign
3,3,2,2,0.8949,benign
2,2,1,1,0.9167,benign
2,2,1,1,0.9535,benign
2,2,1,1,0.9167,benign
2,2,2,1,0.8598,benign
2,2,1,1,0.8605,benign
2,2,1,1,0.7877,benign
2,2,2,1,0.9299,benign
2,2,1,1,1,benign
2,2,1,1,0.8976,benign
3,3,3,2,0.7967,benign
2,2,1,1,0.7632,benign
2,2,1,1,0.9398,benign
2,2,1,1,0.8358,benign
2,2,1,1,0.8337,benign
2,2,1,1,1,benign
2,2,1,1,0.8976,benign
2,2,1,1,0.8949,benign
2,2,2,1,0.8605,benign
2,2,1,1,0.9375,benign
2,2,11,1,0.8605,benign
2,2,9,1,0.8605,benign
2,2,2,1,0.9584,benign
3,3,2,2,0.7695,benign
2,2,2,1,0.8949,benign
3,3,2,2,0.907,benign
2,2,1,1,1,benign
3,3,3,2,0.9169,benign
2,2,1,1,1,benign
2,2,1,1,1,benign
2,2,1,1,0.8605,benign
2,2,1,1,0.9398,benign
2,2,1,1,0.8333,benign
2,2,1,1,0.9474,benign
2,2,2,1,0.7985,benign
2,2,2,1,0.8605,benign
2,2,1,1,0.9474,benign
2,2,2,1,1,benign
2,2,1,1,0.9375,benign
2,2,2,1,0.9535,benign
2,2,2,1,0.8605,benign
2,2,2,1,1,benign
2,2,2,1,0.8598,benign
2,2,1,1,0.8982,benign
